ISBN,Title,Author,Book type,Original Price (RRP),Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
9780571247035,The Murder Room,P. D. James,eBook,$14.29,$12.99, 9780571247035,2008-9-4,"'Faber & Faber', 'Main'",320
9781302013769,Thor,Jason Aaron,eBook,$13.19,$10.99, 9781302013769,,,
9781409106968,Fatal Cut,June Hampson,eBook,,$11.99, 9781409106968,,'Digital original',
9780141938332,The Queen and I,Sue Townsend,eBook,,$15.99, 9780141938332,,'Penguin Books Ltd',
9780230760387,book not found,,,,,,,,
9780141357041,All the Bright Places,Jennifer Niven,eBook,,$12.99, 9780141357041,,"""Penguin Random House Children's UK""",
9781101533475,The Prize,Julie Garwood,eBook,,$5.99, 9781101533475,,,
9780857384416,Born Fearless,Phil Campion,eBook,,$12.99, 9780857384416,,'1',
9780141908731,Alone in Berlin,Hans Fallada,eBook,,$15.99, 9780141908731,2010-1-28,'Penguin Books Ltd',608
9780316310338,book not found,,,,, 9780316310338,2019-1-8,"'12 - 99 years old', 'Little, Brown Books for Young Readers'",336
9780241979075,Exit West,Mohsin Hamid,eBook,,$15.99, 9780241979075,,'Penguin Books Ltd',
9780748123056,Let's Explore Diabetes With Owls,David Sedaris,eBook,,$12.99, 9780748123056,,'Digital original',
9781407035321,Night Watch,Terry Pratchett,eBook,,$15.99, 9781407035321,2009-12-1,'Transworld',480
9780748122660,Safe Haven,,eBook,,$11.99, 9780748122660,,'Digital original',
9780307778086,The Autobiography of Saint Therese,John Beevers,eBook,$22.01,$17.99, 9780307778086,2011-1-26,'9',
9780141396217,The Bhagavad Gita,Laurie L. Patton,eBook,,$14.99, 9780141396217,,'Penguin Books Ltd',
9780698151529,My Mother's Secret,J.L. Witterick,eBook,$23.99,$19.99, 9780698151529,,'1',
9780141929682,The Language Instinct,Steven Pinker,eBook,,$16.99, 9780141929682,,'Penguin Books Ltd',
9781101904190,book not found,,,,, 9781101904190,,'24.77 x 16.51 x 3.81',
9781405525855,Ancillary Sword,Ann Leckie,eBook,,$11.99, 9781405525855,2014-10-7,"'Little, Brown Book Group', 'Digital original'",384
9780759509771,Harriet Tubman,Catherine Clinton,eBook,,$21.99, 9780759509771,,'Digital original',
9780241258750,The Art of Statistics,David Spiegelhalter,eBook,,$15.99, 9780241258750,2019-3-28,'Penguin Books Ltd',256
9780759520844,Healing Back Pain,John E. Sarno,eBook,,$12.99, 9780759520844,,'US',
9780755355976,A Walk In The Park,Jill Mansell,eBook,,$12.99, 9780755355976,,'Digital original',
9780768448887,Redeeming Your Bloodline,Hrvoje Sirovina,Paperback,,$32.63, 9780768448887,,"'US', '0.23'",
9781407039657,The Lollipop Shoes (Chocolat 2),Joanne Harris,eBook,,$15.99, 9781407039657,,'Transworld',
9781405919227,Liar Liar,M. J. Arlidge,eBook,,$15.99, 9781405919227,2015-9-10,'Penguin Books Ltd',314
9780755118519,book not found,,,,, 9780755118519,,,
9780141908328,A Clockwork Orange,Anthony Burgess,eBook,,$15.99, 9780141908328,2011-8-4,'Penguin Books Ltd',176
9780241979457,10 Minutes 38 Seconds in this Strange World,Elif Shafak,eBook,,$15.99, 9780241979457,,'Penguin Books Ltd',
9781250198600,Midnight at the Blackbird Cafe,Heather Webber,eBook,$19.50,$15.99, 9781250198600,,,
9780753553176,The 2020 Commission Report on the North Korean Nuclear Attacks Against The United States,Dr Jeffrey Lewis,eBook,,$15.99, 9780753553176,,'Ebury Publishing',
9780715335543,book not found,,,,, 9780715335543,,'GB',
9780141985947,The Scottish Clearances,T. M. Devine,eBook,,$15.99, 9780141985947,,'Penguin Books Ltd',
9781401919276,Ask and It Is Given,Esther Hicks,eBook,$18.34,$14.99, 9781401919276,,,
9780141991757,No One Is Too Small to Make a Difference,Greta Thunberg,eBook,,$14.99, 9780141991757,2019-5-30,'Penguin Books Ltd',80
9780141910338,Gypsy,Lesley Pearse,eBook,,$15.99, 9780141910338,,'Penguin Books Ltd',
9780393712384,The Polyvagal Theory in Therapy,Deb Dana,eBook,$51.34,$41.99, 9780393712384,2018-6-12,'0',
9780761148425,How to Make People Like You in 90 Seconds or Less,Nicholas Boothman,eBook,,$19.99, 9780761148425,,'Workman Publishing Company',
9781310198373,Quran In English. Modern English Translation. Clear and Easy to Understand.,Talal Itani,eBook,,$0.00, 9781310198373,,,
9780356511511,The Gutter Prayer,Gareth Hanrahan,eBook,,$12.99, 9780356511511,2019-1-15,"'Little, Brown Book Group'",544
9780761165590,book not found,,,,, 9780761165590,,'Workman Publishing Company',
9780307426758,Astrology for the Soul,Jan Spiller,eBook,$17.14,$13.99, 9780307426758,,,
9780141904160,The Closed Circle,Jonathan Coe,eBook,,$15.99, 9780141904160,,'Penguin Books Ltd',
9781407135281,book not found,,,,, 9781407135281,2012-3-1,,
9780141964591,Where Good Ideas Come From,Steven Johnson,eBook,,$15.99, 9780141964591,,'Penguin Books Ltd',
9780997720105,Claiming the Dragon King,Amelia Hutchins,eBook,,$6.99, 9780997720105,2018-7-10,,
9780241192061,book not found,,,,,,,,
9780670923090,The Boy with the Topknot,Sathnam Sanghera,eBook,,$15.99, 9780670923090,,'Digital original',
9780857081025,The Art of War,Sun Tzu,eBook,,$16.99, 9780857081025,,'GB',
9780753549063,Lean In,Sheryl Sandberg,eBook,,$18.99, 9780753549063,,'1',
9780141965550,The Lost Hero (Heroes of Olympus Book 1),Rick Riordan,eBook,,$9.99, 9780141965550,2010-10-12,"'9 - 12 years old', '1'",576
9780141909653,The Other Side of the Story,Marian Keyes,eBook,,$15.99, 9780141909653,,'Penguin Books Ltd',
9780755351473,Another Woman,Penny Vincenzi,eBook,,$12.99, 9780755351473,,'Digital original',
9780141959856,Titmuss Regained,John Mortimer,eBook,,$15.99, 9780141959856,2010-11-4,'0 - 2 years old',272
9781306291859,book not found,,,,, 9781306291859,,'US',
9780141905570,Thin,Grace Bowman,eBook,,$18.99, 9780141905570,,'Penguin Books Ltd',
9780755384761,Shadow of Night,Deborah Harkness,eBook,,$13.99, 9780755384761,2012-7-10,"'Headline', 'Digital original'",605
9780748117468,Lover Mine,J. R. Ward,eBook,,$11.99, 9780748117468,2010-5-6,"'Little, Brown Book Group', 'Digital original'",544
9780804179041,book not found,,,,, 9780804179041,,'US',
9781407011349,Going Dutch,Katie Fforde,eBook,,$15.99, 9781407011349,,'Random House',
9780307414250,book not found,,,,,,,,
9780730363996,book not found,,,,, 9780730363996,,'AU',
9780755387052,1st to Die,James Patterson,eBook,,$12.99, 9780755387052,2011-6-23,"'Headline', 'Digital original'",375
9781407068060,Night Frost,R D Wingfield,eBook,,$15.99, 9781407068060,2010-4-27,'Transworld',432
9780241986233,Notes to Self,Emilie Pine,eBook,,$15.99, 9780241986233,,'Penguin Books Ltd',
9780547607955,The French Slow Cooker,Michele Scicolone,eBook,$39.59,$31.99, 9780547607955,,,
9780241361863,Dear Evan Hansen,Val Emmich,eBook,,$12.99, 9780241361863,,"""Penguin Random House Children's UK""",
9780141900940,Hope,Lesley Pearse,eBook,,$15.99, 9780141900940,,'Penguin Books Ltd',
9780330469289,book not found,,,,, 9780330469289,,,
9780241352533,A Short History of Europe,Simon Jenkins,eBook,,$15.99, 9780241352533,,'Penguin Books Ltd',
9780141941295,Arnhem,Antony Beevor,eBook,,$14.99, 9780141941295,,'Penguin Books Ltd',
9781108337519,There Is No Planet B,Mike Berners-Lee,eText,,$18.95, 9781108337519,,,
9780241974933,Paradise Lodge,Nina Stibbe,eBook,,$15.99, 9780241974933,2016-6-2,'Penguin Books Ltd',320
9780717155651,Strumpet City,James Plunkett,eBook,,$8.99, 9780717155651,,'Gill Books',
9781281371973,book not found,,,,, 9781281371973,,'US',
9780297857440,book not found,,,,,,,,
9780316448284,"I've Been Killing Slimes for 300 Years and Maxed Out My Level, Vol. 1",Kisetsu Morita,eBook,$17.60,$16.99, 9780316448284,2018-4-24,'1',
9780241963913,Mr Loverman,Bernardine Evaristo,eBook,,$15.99, 9780241963913,,'Penguin Books Ltd',
9780307422316,book not found,,,,,,,,
9780307514929,The Bridge at Remagen,Ken Hechler,eBook,$10.27,$9.99, 9780307514929,,,
9780241322499,A Perfect Spy,John le Carré,eBook,,$15.99, 9780241322499,2018-9-27,'Penguin Books Ltd',688
9781405525961,Blood Song,Anthony Ryan,eBook,,$12.99, 9781405525961,2013-4-11,"'Little, Brown Book Group', 'Digital original'",592
9780755350858,The Eagle and the Wolves (Eagles of the Empire 4),Simon Scarrow,eBook,,$12.99, 9780755350858,2008-9-4,"'Headline', 'Digital original'",448
9780748110001,Excession,Iain M. Banks,eBook,,$12.99, 9780748110001,2008-9-4,"'Little, Brown Book Group'",464
9780718197292,Brothers York,Thomas Penn,eBook,,$19.99, 9780718197292,,'Penguin Books Ltd',
9780141962900,The Secret Diary of Adrian Mole Aged 13 ¾,Sue Townsend,eBook,,$9.99, 9780141962900,2009-11-5,'9 - 12 years old',272
9781101155646,The Girl On Legare Street,Karen White,eBook,$10.27,$9.99, 9781101155646,2009-11-3,'2',
9780857191410,book not found,,,,, 9780857191410,,'Harriman House',
9780748133833,The Summer Queen,Elizabeth Chadwick,eBook,,$12.99, 9780748133833,2013-6-20,"'Little, Brown Book Group', 'Digital original'",496
9780307351487,book not found,,,,,,,,
9781370046782,Hellion,Karen Lynch,eBook,,$6.87, 9781370046782,2019-1-8,'7',
9780755384839,You Can't Hide (The Chicago Series Book 4),Karen Rose,Paperback,,$26.25, 9780755384839,2015-7-2,"'Headline Publishing Group', '1'",448
9780307388629,book not found,,,,,,,,
9780307483690,book not found,,,,,,,,
9780330527989,book not found,,,,, 9780330527989,,,
9780307887290,Our Man in Charleston,Christopher Dickey,eBook,$23.99,$19.99, 9780307887290,,,
9780748109500,Postmortem,Patricia Cornwell,eBook,,$12.99, 9780748109500,2008-9-4,"'Little, Brown Book Group', 'Digital original'",416
9780989768412,Hardwired,Meredith Wild,Paperback,$22.17,$21.75, 9780989768412,2015-1-24,"'WATERHOUSE PR                 ', '20.07 x 13.46 x 2.03'",288
9780241376935,One Of Us Is Next,Karen M. McManus,eBook,,$9.99, 9780241376935,2020-1-9,"'9 - 12 years old', '2'",308
9780748113347,The Blind Assassin,Margaret Atwood,eBook,,$11.99, 9780748113347,,'Digital original',
9780804151429,Alaska,James A. Michener,eBook,,$5.99, 9780804151429,,,
9780755351879,Solo,Jill Mansell,eBook,,$11.99, 9780755351879,,'Digital original',
9780755373277,The Hand That First Held Mine,Maggie O'Farrell,eBook,,$11.99, 9780755373277,,'Digital original',
9780748109586,The Body Farm,Patricia Cornwell,eBook,,$11.99, 9780748109586,2008-9-4,"'Little, Brown Book Group', 'Digital original'",400
9780748121960,Welcome To Rosie Hopkins' Sweetshop Of Dreams,Jenny Colgan,eBook,,$12.99, 9780748121960,2012-3-29,"'Little, Brown Book Group', 'Digital original'",400
9781407059044,The Firm,John Grisham,eBook,,$15.99, 9781407059044,,'Random House',
9780755350803,The Eagle In The Sand (Eagles of the Empire 7),Simon Scarrow,eBook,,$12.99, 9780755350803,2008-9-4,"'Headline', 'Digital original'",448
9780748114337,Raise the Titanic,Clive Cussler,eBook,,$11.99, 9780748114337,2009-9-17,"'Little, Brown Book Group', 'Digital original'",320
9781401920524,"Change Your Thoughts, Change Your Life",Dr. Wayne W. Dyer,eBook,$19.06,$15.99, 9781401920524,,,
9780141909820,Last Chance Saloon,Marian Keyes,eBook,,$15.99, 9780141909820,,'Penguin Books Ltd',
9780356503837,The Great Hunt,,Paperback,$22.99,$20.40, 9780356517018,2021-9-14,"'Little Brown', '19 x 12.5 x 5'",720
9781393487326,book not found,,,,, 9781393487326,2019-11-5,'1',
9781405528252,The First Fifteen Lives of Harry August,Claire North,eBook,,$11.99, 9781405528252,,'Digital original',
9781405515665,The Sword Of Shannara,Terry Brooks,eBook,,$12.99, 9781405515665,2012-2-23,"'Little, Brown Book Group', 'Digital original'",672
9781101985007,The Dollhouse,Fiona Davis,eBook,$23.99,$19.99, 9781101985007,,,
9781119278979,The Leadership Challenge,James M. Kouzes,eText,,$41.79, 9781119278979,2017-3-30,'US',
9780748117383,A Pound Of Flesh,Alex Gray,eBook,,$12.99, 9780748117383,2012-3-1,"'Little, Brown Book Group', 'Digital original'",352
9780755322824,Stardust,Neil Gaiman,Paperback,$22.99,$20.40, 9780755322824,,"'GB', '20 x 13.5 x 1.5'",
9780141972091,The Boundless Sea,David Abulafia,eBook,,$19.99, 9780141972091,,'Penguin Books Ltd',
9780141190761,The Lady in the Lake and Other Novels,Raymond Chandler,eBook,,$16.99, 9780141190761,2001-6-7,'Penguin Books Ltd',608
9780141970257,Blue Monday,Nicci French,eBook,,$15.99, 9780141970257,2011-6-23,'Penguin Books Ltd',432
9780857899644,Masters of Rome,Robert Fabbri,eBook,$9.49,$8.99, 9780857899644,2014-8-7,"'Corvus', '1'",300
9780748122769,book not found,,,,, 9780748122769,,'Digital original',
9781370005321,book not found,,,,, 9781370005321,,,
9780316247184,Our Band Could Be Your Life,Michael Azerrad,eBook,,$25.99, 9780316247184,,'Digital original',
9780141960241,book not found,,,,,,,,
9780141925325,Any Human Heart,William Boyd,eBook,,$15.99, 9780141925325,,'Penguin Books Ltd',
9780141956961,Crime and Punishment,Fyodor Dostoevsky,eBook,,$10.99, 9780141956961,,'Penguin Books Ltd',
9780062368683,book not found,,,,,,,,
9780061911491,Hunger,Michael Grant,eBook,,$13.99, 9780061911491,2009-5-26,"'12 - 18 years old', 'HarperCollins'",608
9781370085170,book not found,,,,, 9781370085170,2017-12-1,,
9780061802638,book not found,,,,,,,,
9780241988794,The Catcher in the Rye,J. D. Salinger,eBook,,$15.99, 9780241988794,,'Digital original',
9780748111466,Bloodline,Mark Billingham,eBook,,$12.99, 9780748111466,2009-8-6,"'Little, Brown Book Group', 'Digital original'",352
9780141962016,The Rule of Law,Rt Hon Lord Bingham of Cornhill KG PC FBA Tom Bingham,eBook,,$15.99, 9780141962016,,'Penguin Books Ltd',
9780330468565,book not found,,,,, 9780330468565,,,
9780141929552,A Moment of War,Laurie Lee,eBook,,$15.99, 9780141929552,2000-1-1,'Penguin Books Ltd',192
9780571357048,March of the Lemmings,Stewart Lee,eBook,$18.69,$15.99, 9780571357048,,'Faber & Faber',
9780743483308,Path of the Assassin,Brad Thor,eBook,,$9.99, 9780743483308,2003-4-15,'Atria Books',384
9780857896315,The Case of the Missing Boyfriend,Nick Alexander,eBook,,$5.99, 9780857896315,2011-8-1,'Corvus',200
9781405522779,The Collector,Nora Roberts,eBook,,$11.99, 9781405522779,,'Digital original',
9781250175816,The Deceivers,Kristen Simmons,eBook,$14.95,$11.99, 9781250175816,2019-2-5,'1',
9780735214163,Profit First,Mike Michalowicz,eBook,$29.14,$23.99, 9780735214163,,,
9780748110049,Matter,Iain M. Banks,eBook,,$12.99, 9780748110049,2008-9-4,"'Little, Brown Book Group'",608
9780141963792,If Beale Street Could Talk,James Baldwin,eBook,,$15.99, 9780141963792,2000-1-1,'Penguin Books Ltd',240
9780307792419,Caves of Steel,Isaac Asimov,eBook,$13.19,$10.99, 9780307792419,2011-4-13,'2',
9780241341049,Everything is Figureoutable,Marie Forleo,eBook,,$4.99, 9780241341049,,'Penguin Books Ltd',
9781405934633,The Glass Woman,Caroline Lea,eBook,,$15.99, 9781405934633,,'Penguin Books Ltd',
9780486113708,The Elements of Style,William Strunk Jr.,eBook,,$5.80, 9780486113708,,'1',
9780356511078,The Labyrinth Index,Charles Stross,eBook,,$12.99, 9780356511078,2018-10-30,"'Little, Brown Book Group'",368
9780751564150,Billy Connolly's Tracks Across America,Billy Connolly,eBook,,$19.99, 9780751564150,,'Digital original',
9780759574731,book not found,,,,, 9780759574731,,'Digital original',
9781306020275,book not found,,,,, 9781306020275,,'US',
9780748123032,Me Talk Pretty One Day,David Sedaris,eBook,,$12.99, 9780748123032,,'Digital original',
9780330507073,book not found,,,,, 9780330507073,,,
9781405527583,The Bones Beneath,Mark Billingham,eBook,,$11.99, 9781405527583,2014-5-22,"'Little, Brown Book Group', 'Digital original'",400
9780241334225,Brain Freeze,Tom Fletcher,eBook,,$1.99, 9780241334225,,"""Penguin Random House Children's UK""",
9780061947438,Mere Christianity,C. S. Lewis,eBook,,$5.99, 9780061947438,,'HarperCollins',
9780007328918,A Winter's Tale,Trisha Ashley,eBook,,$9.99, 9780007328918,,'HarperCollins Publishers',
9781407004563,A Mother's Courage,Dilly Court,eBook,,$15.99, 9781407004563,,'Random House',
9780755389506,One Cretan Evening and Other Stories,Victoria Hislop,eBook,,$3.99, 9780755389506,,'Digital original',
9780297864547,The Hairy Bikers' 12 Days of Christmas,Hairy Bikers,eBook,,$19.99, 9780297864547,2010-12-2,'Orion',224
9780748132034,Quite Ugly One Morning,Christopher Brookmyre,eBook,,$11.99, 9780748132034,2011-6-16,"'Little, Brown Book Group', 'Digital original'",320
9780748121779,Immortal in Death,J.D. Robb,eBook,,$11.99, 9780748121779,2010-10-7,"'Little, Brown Book Group', 'Digital original'",352
9780316310444,book not found,,,,, 9780316310444,,"'7 - 17', 'Digital original'",
9780241969564,The Tea Planter's Wife,Dinah Jefferies,eBook,,$15.99, 9780241969564,,'Penguin Books Ltd',
9780755357208,The Legion (Eagles of the Empire 10),Simon Scarrow,eBook,,$12.99, 9780755357208,2010-11-11,"'Headline', 'Digital original'",448
9780571339150,Ayoade on Top,Richard Ayoade,eBook,$14.29,$12.99, 9780571339150,,'Faber & Faber',
9780575097599,Rivers of London,Ben Aaronovitch,eBook,,$11.99, 9780575097599,2011-1-10,"'Orion', 'Digital original'",384
9780241243688,Village Christmas,Laurie Lee,eBook,,$14.99, 9780241243688,2015-11-5,'Penguin Books Ltd',200
9780062982735,book not found,,,,,,,,
9781405928571,Into the Fire,Gregg Hurwitz,eBook,,$15.99, 9781405928571,2020-2-20,'Penguin Books Ltd',400
9780753549049,The Bracelet,Fredrica Alleyn,eBook,,$16.99, 9780753549049,,'1',
